rowid,kepid,tce_plnt_num,tce_rogue_flag,tce_delivname,rowupdate,tce_datalink_dvs,tce_datalink_dvr,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof1,tce_dof2,tce_chisq1,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_nkoi,tce_ioflag,tce_quarters,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tcet_period,tcet_period_err,tcet_time0bk,tcet_time0bk_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_mesmedian,tce_mesmad,tce_maxmes,tce_minmes,tce_maxmesd,tce_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_rmesmad,tce_rsnrmes,tce_rminmes,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,av_vf_pc,av_vf_pc_err,av_vf_afp,av_vf_afp_err,av_vf_ntp,av_vf_ntp_err,av_pp_pc,av_pp_afp,av_pp_ntp,av_training_set,av_pred_class,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,tce_cap_stat,tce_hap_stat,tce_rb_tpdur,tce_rb_tcount0,tce_rb_tcount1,tce_rb_tcount2,tce_rb_tcount3,tce_rb_tcount4,tce_fwm_stat,tce_fwm_sra,tce_fwm_sra_err,tce_fwm_sdec,tce_fwm_sdec_err,tce_fwm_srao,tce_fwm_srao_err,tce_fwm_sdeco,tce_fwm_sdeco_err,tce_fwm_prao,tce_fwm_prao_err,tce_fwm_pdeco,tce_fwm_pdeco_err,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_dikco_mra,tce_dikco_mra_err,tce_dikco_mdec,tce_dikco_mdec_err,tce_dikco_msky,tce_dikco_msky_err
17973,11250587,1,,q1_q17_dr24_tce,2015-01-15,011/011250/011250587/dv/kplr011250587-001-20141002224145_dvs.pdf,011/011250/011250587/dv/kplr011250587-20141002224145_dvr.pdf,7.25697,5.5998e-06,134.023,0.000593138,2454970.0,0.000593138,0.020775908,0.0015031829000000001,8.4509918,2.6315415,85.28,3.085,0.6961,0.2368,4.898,0.09206,0.1898,0.1335,452.0,3.711,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.557926,0.000384,0.4656558,-0.2618846,184,mandel-agol_geometric_transit_model,1,123.7,7014.0,8348.0,152.2,2353.0,180,6854.0,753.3,,,3.596,0.2602,0.07776,4e-08,1170.0,29.6,,,1,,11111111111111111,5862.0,97.0,4.11,0.02,0.27,0.109,1.5859999999999999,0.061,SPE8,AST8,SPE8,MULT8,,,,,,,,,,,,,,,,,,,0.793,3.02,-3.622,-0.3542,-1.151,13.23,113.5,0.4849,143.1,1.09,0.03191,,,,,,,96.9697,0.1037,2.9687,0.1117,0.0615,0.0147,99.1069,0.89,0.0031,PC,PC,0.0,7.4379,-0.10818,1.0712,,,,,,,,,6.2725,19.655679,2.28e-06,48.982378000000004,2.34e-05,0.05188,0.0808,0.06534,0.0841,9.017999999999999e-06,3.68e-05,-5.055e-05,3.85e-05,0.011167,0.0863,-0.091152,0.123,0.091833,0.115,-0.0087644,0.0894,-0.1506,0.121,0.15085,0.117
6539,6359320,2,,q1_q17_dr24_tce,2015-01-15,006/006359/006359320/dv/kplr006359320-002-20141002224145_dvs.pdf,006/006359/006359320/dv/kplr006359320-20141002224145_dvr.pdf,8.128,6.3621e-05,139.23,0.00648927,2454970.0,0.00648927,0.017237331,0.01345362,11.952494,41.47236,86.6,23.78,0.7081,2.494,3.794,0.7163,0.1268,0.9881,308.6,25.51,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.491699,0.1445354,0.32540359999999996,-0.218156,130,mandel-agol_geometric_transit_model,1,12.76,3755.0,4422.0,12.4,1612.0,123,977.5,206.8,,,1.732,1.352,0.07959,4.153e-07,875.0,190.0,,,3,,11111111111111,5831.0,196.0,4.52,0.3,0.0,0.28,0.9209999999999999,0.395,KIC0,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.7539,2.483,-3.589,1.372,4.934,4.0569999999999995,12.0,2.462,15.91,1.063,0.2991,,,,,,,98.2416,0.0772,1.6639,0.0788,0.0944,0.0078,99.3108,0.5183,0.1709,PC,PC,5.9534e-29,7.5858,-0.060437,1.086,,,,,,,,,13.993,19.347669,2.85e-05,41.775420000000004,0.000287,-0.376,1.15,-1.978,1.03,-0.0001907,0.000355,0.0005983,0.00032,0.872,1.02,0.12501,0.625,0.88091,0.898,0.78891,0.882,0.14103,0.566,0.8014100000000001,0.738
754,2692377,1,,q1_q17_dr24_tce,2015-01-15,002/002692/002692377/dv/kplr002692377-001-20141002224145_dvs.pdf,002/002692/002692377/dv/kplr002692377-20141002224145_dvr.pdf,1.54167,1.89167e-06,132.003,0.00042171099999999996,2454970.0,0.00042171099999999996,0.01253793,0.0028794066,6.632635400000001,5.883374,87.41,26.35,0.3,2.781,1.717,0.02002,0.02334,0.04745,189.0,4.326,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.6136144,-0.29303340000000005,0.8879521999999999,-0.4245518,869,mandel-agol_geometric_transit_model,1,58.07,12870.0,14450.0,57.43,11170.0,858,22580.0,2465.0,,,1.49,0.3422,0.02559,2.093e-08,1590.0,127.0,,,1,,11111111111111111,5533.0,102.0,4.34,0.12,0.18,0.12,1.089,0.16899999999999998,SPE61,SPE61,SPE61,DSEP,,,,,,,,,,,,,,,,,,,1.717,5.495,-5.726,-0.1219,0.4906,8.974,48.05,3.7879999999999996e-16,27.99,1.208,0.1192,,,,,,,17.1336,0.1453,81.4744,0.1512,1.392,0.0502,12.9039,82.4701,4.626,PC,AFP,0.0,7.9959,-0.53798,1.2129,,,,,,,,,2.4906,19.044109,4.74e-06,37.964444,7.97e-05,-0.02449,0.202,-0.2014,0.287,6.845e-06,3.82e-05,4.136e-05,5.43e-05,0.10375,0.0951,0.059419,0.136,0.11956,0.126,0.22421,0.0974,0.16414,0.113,0.27787,0.123
17413,11614617,1,,q1_q17_dr24_tce,2015-01-15,011/011614/011614617/dv/kplr011614617-001-20141002224145_dvs.pdf,011/011614/011614617/dv/kplr011614617-20141002224145_dvr.pdf,24.7577,0.000109492,142.06799999999998,0.00362257,2454980.0,0.00362257,0.019719108,0.010679201999999999,28.119859,74.52532,89.31,16.02,0.3393,6.964,6.468,0.694,0.141,0.8266,453.1,14.11,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.3783816,0.5867408000000001,-0.295,0.0371116,55,mandel-agol_geometric_transit_model,1,33.23,2726.0,3142.0,38.96,689.0,52,382.8,83.53,,,2.079,1.126,0.1687,4.974e-07,645.0,108.0,,,1,,11111111111111111,6106.0,182.0,4.49,0.25,-0.16,0.28,0.966,0.32,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.764,3.008,-3.427,9.086,1.09,9.047,32.79,3.277,42.91,1.014,0.1045,,,,,,,99.4906,0.0363,0.5004,0.0353,0.009,0.0059,99.7879,0.2121,0.0,PC,PC,1.2338999999999994e-196,7.6273,-0.13117,1.1012,,,,,,,,,1.7017,19.592119,1.17e-05,49.683237,0.000134,0.02869,0.41,0.3133,0.483,-3.382e-05,0.000187,-0.0001405,0.00022,0.13024,0.152,-0.019424,0.175,0.13168,0.152,0.061367,0.148,-0.015452,0.179,0.063283,0.15
15244,9002538,2,,q1_q17_dr24_tce,2015-01-15,009/009002/009002538/dv/kplr009002538-002-20141002224145_dvs.pdf,009/009002/009002538/dv/kplr009002538-20141002224145_dvr.pdf,6.883089999999999,3.33693e-05,134.154,0.0035787,2454970.0,0.0035787,0.005446176600000001,0.001002105,21.320876000000002,18.828323,88.12,3.407,0.7,0.6497,1.78,0.09732,0.01881,0.03672,30.77,2.733,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.40438320000000005,0.5331471999999999,-0.24762800000000001,0.0250716,183,mandel-agol_geometric_transit_model,1,11.97,2562.0,3070.0,11.3,2275.0,174,1582.0,233.5,,,0.7714,0.1419,0.07262,2.3469999999999998e-07,1140.0,127.0,,,2,,11111111111111111,6117.0,125.0,4.24,0.14,-0.04,0.12,1.298,0.285,SPE59,SPE59,SPE59,DSEP,,,,,,,,,,,,,,,,,,,0.7359,3.288,-3.695,0.9531,-1.672,3.8489999999999998,10.61,0.406,14.42,1.129,0.3483,,,,,,,91.1845,0.1402,6.5038,0.1009,2.3116,0.0776,94.8357,2.7822,2.3821,PC,PC,2.5385000000000002e-20,8.1247,-0.13469,1.1725,,,,,,,,,0.69045,18.890021,2.49e-05,45.339071999999994,0.000239,-0.357,0.946,-0.1372,0.859,1.28e-05,2.91e-05,1.606e-06,2.64e-05,0.97211,0.717,0.82477,0.909,1.2749,0.95,1.0231,0.614,0.64318,0.842,1.2085,0.858
15747,10253943,1,,q1_q17_dr24_tce,2015-01-15,010/010253/010253943/dv/kplr010253943-001-20141002224145_dvs.pdf,010/010253/010253943/dv/kplr010253943-20141002224145_dvr.pdf,0.9794129999999999,1.0117e-05,132.24,0.00568462,2454970.0,0.00568462,0.0084624574,0.0045606396,1.1162437,0.7155724,36.57,112.2,0.8964,0.7285,3.096,7.425,0.128,0.5764,63.04,5.257,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.44919960000000003,0.2768922,0.015567,-0.0824618,1365,mandel-agol_geometric_transit_model,1,13.9,30960.0,39320.0,7.047000000000001,17510.0,1346,11770.0,1347.0,,,3.121,1.682,0.024390000000000002,1.68e-07,4140.0,762.0,,,0,,11111111111111111,7968.0,320.0,3.69,0.29,-0.18,0.34,3.38,1.215,KIC0,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,2.302,6.086,-3.521,0.5044,0.7107,4.718999999999999,14.47,8.959e-05,6.288,0.9603,0.2432,,,,,,,0.1485,0.0201,5.9941,0.1234,93.8574,0.1322,0.0,1.4675,98.5325,NTP,NTP,1.8199000000000002e-33,9.2162,1.7472,1.0608,,,,,,,,,7.2061,18.790119,5.19e-06,47.301693,6.16e-05,-0.465,0.19,0.408,0.222,1.573e-05,1.2e-05,-8.562e-06,1.4e-05,-0.25156,0.494,0.28447,0.491,0.37974,0.576,-0.46732,0.516,0.348,0.584,0.58265,0.676
1338,3119256,3,,q1_q17_dr24_tce,2015-01-15,003/003119/003119256/dv/kplr003119256-003-20141002224145_dvs.pdf,003/003119/003119256/dv/kplr003119256-20141002224145_dvr.pdf,1.75046,1.1993e-05,131.817,0.00272672,2454960.0,0.00272672,0.0046461272,0.00025989133000000003,3.8179013,0.09767566,90.0,9933.0,6.813e-06,661.9,3.519,0.08899,0.01627,0.001,25.26,1619.0,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.07676960000000001,1.5179124,-1.502253,0.538042,663,mandel-agol_geometric_transit_model,1,10.47,14430.0,16690.0,15.66,6344.0,487,12770.0,2208.0,,,0.8898,0.04977,0.02868,1.31e-07,2340.0,426.0,,,1,,11111111111111111,6788.0,228.0,3.96,0.35,-0.96,0.3,1.755,0.627,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,1.851,5.798,-6.456,1.226,-0.2724,3.615,9.513,0.5725,5.139,1.101,0.6787,,,,,,,1.892,0.0793,12.713,0.1399,85.395,0.1705,0.1654,3.0197,96.8148,NTP,NTP,1.3365e-15,8.4666,-0.068409,1.2121,,,,,,,,,10.447,19.469994,2.68e-05,38.260983,0.000198,-0.6664,1.14,-0.06298,0.713,-4.33e-05,0.000119,1.456e-05,0.000148,0.1104,1.59,-0.86687,1.01,0.87387,1.49,0.17952,0.688,-0.31628,0.739,0.36368,0.905
14242,9592705,1,,q1_q17_dr24_tce,2015-01-15,009/009592/009592705/dv/kplr009592705-001-20141002224145_dvs.pdf,009/009592/009592705/dv/kplr009592705-20141002224145_dvr.pdf,10.2753,1.2996400000000001e-05,136.173,0.00102647,2454970.0,0.00102647,0.014504028,0.0008942189,8.3992175,2.4979017,84.87,2.736,0.7517,0.176,6.367,0.09516,0.2055,0.1362,212.4,2.839,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.467988,0.41503999999999996,-0.144204,-0.0071852,126,mandel-agol_geometric_transit_model,1,74.57,6352.0,7533.0,116.2,1573.0,120,2666.0,726.5,,,3.346,0.2063,0.1054,8.890000000000001e-08,1220.0,21.8,,,1,,11111111111111111,6174.0,92.0,3.96,0.01,0.22,0.10099999999999999,2.114,0.042,SPE8,AST8,SPE8,MULT8,,,,,,,,,,,,,,,,,,,0.6783,3.931,-2.724,1.008,0.6062,8.891,68.85,0.7969,101.5,1.083,0.03956,,,,,,,75.756,0.2483,23.5436,0.2503,0.7003,0.0437,83.2692,14.1172,2.6136,PC,PC,0.0,7.3127,-0.041156,1.0448,,,,,,,,,51.977,19.581083,3.92e-06,46.226494,3.63e-05,-0.533,0.147,-0.5805,0.131,6.224e-05,3.12e-05,8.631e-05,2.78e-05,-1.0285,0.584,-1.3159,0.526,1.6702,0.722,-1.4468,0.52,-0.9823,0.486,1.7487,0.62
13504,9530945,1,,q1_q17_dr24_tce,2015-01-15,009/009530/009530945/dv/kplr009530945-001-20141002224145_dvs.pdf,009/009530/009530945/dv/kplr009530945-20141002224145_dvr.pdf,17.4066,3.55711e-05,136.194,0.00168544,2454970.0,0.00168544,0.025118342999999998,0.0007470720399999999,10.906189,1.5189917,85.59,0.8807,0.8383,0.05042,7.194,0.1504,0.5618,0.1742,590.9,9.44,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.3685308,0.626336,-0.3500428,0.0627052,76,mandel-agol_geometric_transit_model,1,63.32,4531.0,5268.0,87.52,975.0,74,1214.0,230.4,,,3.333,0.09913,0.1321,1.799e-07,815.0,69.4,,,2,,11111111111111111,6086.0,126.0,4.27,0.13,-0.16,0.16,1.216,0.201,SPE58,SPE58,SPE58,DSEP,,,,,,,,,,,,,,,,,,,0.6166,3.162,-3.077,-2.609,-2.895,9.44,60.21,0.1462,97.65,1.052,0.05111,,,,,,,92.6003,0.1461,7.0911,0.1459,0.3086,0.025,96.0402,3.1307,0.8291,PC,PC,0.0,7.0093,-0.051762999999999997,1.0034,,,,,,,,,8.0974,19.581871,4.06e-06,46.129129,4.72e-05,0.0051,0.152,-0.07562,0.17,-2.281e-05,9.1e-05,-0.0001503,0.000102,-0.011455,0.116,0.027863,0.158,0.030126,0.158,0.036624,0.114,-0.093834,0.166,0.10073,0.156
4945,5110034,2,,q1_q17_dr24_tce,2015-01-15,005/005110/005110034/dv/kplr005110034-002-20141002224145_dvs.pdf,005/005110/005110034/dv/kplr005110034-20141002224145_dvr.pdf,3.93071,5.8315699999999995e-05,135.313,0.010643,2454970.0,0.010643,0.0082194215,0.00064849574,1.1610731,0.08286324,35.44,8.393,0.946,0.03119,9.019,1.516,0.6557,0.2683,53.37,6.273,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.260684,0.9838100000000001,-0.8354868000000001,0.2623586,275,mandel-agol_geometric_transit_model,1,8.988,18530.0,21020.0,42.73,3497.0,268,13190.0,10490.0,,,0.8969,0.07077,0.04947,4.893e-07,1270.0,282.0,,,0,,11111011101110111,6382.0,209.0,4.46,0.3,-0.38,0.32,1.0,0.441,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,2.209,4.754,-3.85,2.255,1.873,4.742,8.324,3.29,3.769,1.08,0.4625,,,,,,,0.0249,0.0079,98.7769,0.0396,1.1982,0.0354,0.0,99.8899,0.1101,AFP,AFP,3.602e-13,8.1637,-0.18415,1.1855,,,,,,,,,13.237,19.648844,1.58e-05,40.29249,0.000166,-0.2109,0.653,-1.259,0.599,1.403e-05,3.48e-05,6.54e-05,3.2e-05,-0.17779,0.47,-1.3846,1.23,1.396,1.26,-0.19648,0.38,-1.4191,1.04,1.4326,1.06
